Latitud_RX,Longitud_RX,Latitud_TX,Longitud_TX,Item_conta,RSSI_RX,SNR_RX,Distancia_to_TX,Azimuth_to_TX,Fecha(UTC)
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
0.000000,0.000000,0.000000,0.000000,-100,-164,0.00,0,0.00,
0.000000,0.000000,0.000000,0.000000,-100,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
0.000000,0.000000,-0.232629,-78.455154,1,-95,-18.75,0,0.00,
-0.232191,-78.456017,-0.232630,-78.455147,4,-93,-23.50,108,116.78,
-0.232190,-78.456024,-0.232630,-78.455147,4,-93,-23.50,109,116.63,
-0.232182,-78.456032,-0.232630,-78.455147,4,-93,-23.50,110,116.85,
-0.232177,-78.456032,-0.232630,-78.455147,4,-93,-23.50,110,117.11,
-0.232184,-78.456047,-0.232630,-78.455147,4,-93,-23.50,111,116.36,
-0.232188,-78.456070,-0.232630,-78.455147,4,-95,-20.25,113,115.58,
-0.232190,-78.456070,-0.232632,-78.455154,1,-95,-20.25,113,115.77,
-0.232190,-78.456055,-0.232632,-78.455154,1,-95,-20.25,111,116.15,
-0.232190,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,115.96,
-0.232190,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,115.96,
-0.232191,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,115.91,
-0.232190,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,115.96,
-0.232190,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,115.96,
-0.232190,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,115.96,
-0.232188,-78.456062,-0.232632,-78.455154,1,-95,-20.25,112,116.06,
-0.232187,-78.456062,-0.232632,-78.455154,1,-93,-16.25,112,116.11,
-0.232187,-78.456062,-0.232629,-78.455154,5,-93,-16.25,112,115.96,
-0.232186,-78.456055,-0.232629,-78.455154,5,-93,-16.25,111,116.20,
-0.232186,-78.456055,-0.232629,-78.455154,5,-93,-16.25,111,116.20,
-0.232186,-78.456055,-0.232629,-78.455154,5,-93,-16.25,111,116.20,
-0.232186,-78.456047,-0.232629,-78.455154,5,-93,-16.25,110,116.40,
-0.232187,-78.456047,-0.232629,-78.455154,5,-85,-21.75,110,116.34,
-0.232187,-78.456047,-0.232629,-78.455154,5,-85,-21.75,110,116.34,
-0.232188,-78.456047,-0.232629,-78.455154,5,-85,-21.75,110,116.29,
-0.232188,-78.456047,-0.232629,-78.455154,5,-85,-21.75,110,116.29,
-0.232188,-78.456047,-0.232629,-78.455154,5,-85,-21.75,110,116.29,
-0.232188,-78.456047,-0.232629,-78.455154,5,-92,-23.00,110,116.29,
-0.232188,-78.456047,-0.232629,-78.455154,5,-92,-23.00,110,116.29,
-0.232188,-78.456039,-0.232629,-78.455154,5,-92,-23.00,109,116.49,
-0.232189,-78.456039,-0.232629,-78.455154,5,-92,-23.00,109,116.44,
-0.232192,-78.456047,-0.232629,-78.455154,5,-92,-23.00,110,116.09,
-0.232192,-78.456039,-0.232629,-78.455154,5,-92,-23.00,109,116.28,
-0.232192,-78.456039,-0.232629,-78.455154,5,-92,-23.00,109,116.28,
-0.232192,-78.456039,-0.232629,-78.455154,5,-92,-23.00,109,116.28,
-0.232190,-78.456039,-0.232629,-78.455154,5,-92,-23.00,109,116.39,
-0.232188,-78.456047,-0.232629,-78.455154,5,-92,-23.00,110,116.29,
-0.232187,-78.456047,-0.232629,-78.455154,5,-92,-23.00,110,116.34,
