Latitud_RX,Longitud_RX,Latitud_TX,Longitud_TX,Item_conta,RSSI_RX,SNR_RX,Distancia_to_TX,Azimuth_to_TX,Fecha(UTC)
-0.211381,-78.488373,-0.212455,-78.489746,4,-85,-9.75,193,231.97,
-0.211380,-78.488373,-0.212455,-78.489746,4,-85,-9.75,193,231.95,
-0.211369,-78.488388,-0.212455,-78.489746,4,-82,6.00,193,231.35,
-0.211360,-78.488388,-0.212456,-78.489746,5,-82,6.00,194,231.09,
-0.211354,-78.488396,-0.212456,-78.489746,5,-82,6.00,193,230.78,
-0.211349,-78.488403,-0.212459,-78.489746,1,-78,-4.00,193,230.42,
-0.211342,-78.488411,-0.212459,-78.489746,1,-78,-4.00,193,230.08,
-0.211336,-78.488419,-0.212459,-78.489746,1,-87,-1.00,193,229.77,
-0.211330,-78.488426,-0.212457,-78.489746,2,-87,-1.00,193,229.51,
-0.211320,-78.488441,-0.212457,-78.489746,2,-87,-1.00,192,228.93,
-0.211314,-78.488457,-0.212457,-78.489746,2,-82,0.50,191,228.44,
-0.211309,-78.488464,-0.212455,-78.489746,3,-82,0.50,191,228.20,
-0.211305,-78.488472,-0.212455,-78.489746,3,-84,2.25,190,227.93,
-0.211301,-78.488480,-0.212449,-78.489746,4,-84,2.25,190,227.81,
-0.211296,-78.488487,-0.212449,-78.489746,4,-84,2.25,189,227.51,
-0.211286,-78.488503,-0.212449,-78.489746,4,-84,2.50,189,226.92,
-0.211281,-78.488510,-0.212447,-78.489738,5,-84,2.50,188,226.49,
-0.211275,-78.488518,-0.212447,-78.489738,5,-85,3.00,188,226.17,
-0.211270,-78.488525,-0.212446,-78.489738,1,-85,3.00,187,225.89,
-0.211263,-78.488533,-0.212446,-78.489738,1,-85,3.00,187,225.54,
-0.211258,-78.488541,-0.212446,-78.489738,1,-87,0.00,187,225.24,
-0.211250,-78.488556,-0.212442,-78.489738,2,-87,0.00,186,224.77,
-0.211246,-78.488564,-0.212442,-78.489738,2,-79,3.00,186,224.49,
-0.211243,-78.488571,-0.212438,-78.489738,3,-79,3.00,185,224.33,
-0.211241,-78.488579,-0.212438,-78.489738,3,-79,3.00,185,224.09,
-0.211239,-78.488586,-0.212438,-78.489738,3,-84,3.00,184,223.86,
-0.211235,-78.488594,-0.212439,-78.489738,4,-84,3.00,184,223.55,
-0.211229,-78.488609,-0.212439,-78.489738,4,-84,3.00,184,223.02,
-0.211225,-78.488617,-0.212438,-78.489738,5,-79,-6.25,183,222.76,
-0.211223,-78.488625,-0.212438,-78.489738,5,-79,-6.25,183,222.51,
-0.211218,-78.488632,-0.212438,-78.489738,5,-88,1.25,183,222.20,
-0.211212,-78.488640,-0.212439,-78.489738,1,-88,1.25,183,221.84,
-0.211210,-78.488647,-0.212439,-78.489738,1,-88,1.25,182,221.60,
-0.211205,-78.488663,-0.212439,-78.489738,1,-87,-9.25,182,221.08,
-0.211200,-78.488663,-0.212439,-78.489738,2,-87,-9.25,182,220.97,
-0.211199,-78.488670,-0.212439,-78.489738,2,-89,1.25,182,220.74,
-0.211197,-78.488670,-0.212444,-78.489738,3,-89,1.25,182,220.58,
