Contador_TX,Numero_dato,RSSI,SNR
100005,100010,-106,-10.50
100004,100014,-97,-10.25
100005,100015,-99,-11.50
100001,100016,-99,-9.50
100002,100017,-99,-8.00
100003,100018,-98,-10.50
100004,100019,-98,-18.50
100001,100021,-97,-20.00
100002,100022,-99,-17.00
100003,100023,-100,-16.00
100005,100025,-100,-17.00
100001,100026,-100,-18.25
100001,100031,-99,-19.50
100002,100032,-100,-19.75
100002,100037,-97,-13.75
100005,100040,-99,-20.75
100002,100042,-99,-15.50
100003,100043,-99,-15.50
100004,100044,-102,-17.50
100005,100045,-101,-15.75
100001,100046,-98,-16.50
100002,100047,-98,-11.50
100003,100048,-100,-10.25
100004,100049,-98,-12.75
100005,100050,-99,-12.75
100001,100051,-98,-19.00
100003,100053,-97,-20.50
100002,100057,-100,-4.50
100003,100058,-99,-6.00
100004,100064,-99,-12.00
100005,100065,-99,-14.75
100002,100067,-97,-17.00
100004,100069,-95,-15.75
100005,100070,-97,-14.50
100001,100071,-95,-9.75
100002,100072,-95,-12.25
100005,100075,-97,-8.25
100001,100076,-97,-14.75
100002,100077,-98,-16.75
100004,100079,-96,-20.25
100005,100080,-97,-18.50
100001,100081,-98,-11.50
100002,100082,-97,-8.50
100003,100083,-98,-11.50
100004,100084,-97,-9.25
100005,100085,-99,-10.50
100001,100086,-97,-14.25
100002,100087,-98,-10.25
100003,100088,-97,-10.50
100004,100089,-96,-11.00
100005,100090,-96,-11.25
100001,100091,-96,-10.50
100002,100092,-96,-9.25
100003,100093,-95,-11.25
100004,100094,-96,-9.50
100005,100095,-98,-8.25
100001,100096,-97,-10.50
100002,100097,-98,-8.75
100003,100098,-98,-9.75
100004,100099,-97,-11.25
100005,100100,-96,-11.50
100001,100101,-97,-11.25
100002,100102,-97,-9.00
100003,100103,-97,-11.50
100004,100104,-96,-12.75
100005,100105,-96,-13.75
100001,100106,-95,-12.50
100002,100107,-97,-10.50
100003,100108,-96,-13.25
100004,100109,-97,-15.25
100005,100110,-96,-13.25
100001,100111,-97,-11.50
100002,100112,-97,-13.50
100003,100113,-97,-13.25
100004,100114,-97,-12.50
100005,100115,-97,-13.00
100001,100116,-97,-14.00
100002,100117,-97,-12.75
100003,100118,-94,-14.75
100004,100119,-96,-13.25
100005,100120,-95,-14.75
100001,100121,-98,-11.50
100002,100122,-97,-13.50
100003,100123,-97,-13.00
100004,100124,-97,-13.00
100005,100125,-97,-12.50
100001,100126,-96,-13.25
100002,100127,-97,-12.75
100003,100128,-97,-13.75
100004,100129,-97,-13.75
100005,100130,-97,-13.50
100001,100131,-98,-13.00
100002,100132,-98,-13.25
100003,100133,-98,-12.00
100004,100134,-97,-12.25
100005,100135,-97,-10.75
100001,100136,-98,-11.25
100002,100137,-97,-12.00
100003,100138,-97,-13.00
100004,100139,-97,-13.50
100005,100140,-97,-13.50
100001,100141,-98,-12.00
100002,100142,-98,-12.50
100003,100143,-98,-11.75
100004,100144,-97,-14.50
100005,100145,-96,-15.00
100001,100146,-98,-12.75
100002,100147,-97,-14.25
100003,100148,-98,-12.50
100004,100149,-97,-13.50
100005,100150,-96,-14.75
100001,100151,-97,-14.00
100002,100152,-97,-13.00
100003,100153,-97,-13.00
100004,100154,-97,-14.75
100005,100155,-97,-14.75
100001,100156,-94,-16.75
100002,100157,-100,-13.25
100003,100158,-97,-14.00
100004,100159,-96,-15.00
100005,100160,-96,-14.50
100001,100161,-97,-15.00
100002,100162,-97,-13.25
100003,100163,-96,-15.25
100004,100164,-97,-14.75
100005,100165,-96,-15.75
100001,100166,-96,-13.50
100002,100167,-93,-16.75
100003,100168,-93,-17.75
100004,100169,-93,-17.75
100005,100170,-97,-14.75
100001,100171,-97,-14.50
100002,100172,-98,-13.75
100003,100173,-97,-13.75
100004,100174,-97,-14.25
100005,100175,-98,-14.00
100001,100176,-98,-14.75
100002,100177,-96,-14.25
100003,100178,-97,-13.75
100004,100179,-97,-13.75
100005,100180,-95,-16.50
100001,100181,-96,-14.75
100002,100182,-97,-15.75
100003,100183,-97,-18.00
100004,100184,-94,-16.75
100005,100185,-96,-15.25
100001,100186,-96,-15.00
100002,100187,-96,-11.75
100003,100188,-96,-13.00
100004,100189,-97,-10.25
100005,100190,-97,-10.25
100001,100191,-99,-10.50
100002,100192,-96,-14.00
100003,100193,-94,-17.75
100004,100194,-98,-12.75
100005,100195,-94,-17.75
100001,100196,-98,-11.50
100002,100197,-98,-12.00
100003,100198,-98,-12.50
100004,100199,-96,-17.25
100005,100200,-98,-13.25
100001,100201,-95,-16.50
100002,100202,-95,-17.00
100003,100203,-98,-13.00
100004,100204,-99,-10.25
100005,100205,-96,-13.25
100001,100206,-94,-15.75
100002,100207,-95,-16.00
100003,100208,-95,-16.50
100004,100209,-95,-15.50
100005,100210,-95,-16.50
100001,100211,-97,-14.25
100002,100212,-96,-15.25
