Contador_TX,Numero_dato,RSSI,SNR
100004,100004,-100,-13.00
100005,100005,-103,-12.75
100003,100008,-102,-13.50
100004,100009,-100,-13.25
100005,100010,-98,-15.00
100001,100011,-99,-18.00
100005,100015,-100,-15.25
100003,100018,-98,-15.75
100004,100019,-99,-13.50
100005,100020,-98,-15.50
100005,100025,-101,-16.75
100001,100026,-103,-16.25
100004,100029,-99,-14.75
100005,100030,-101,-14.50
100004,100034,-100,-14.00
100005,100035,-99,-12.50
100001,100036,-99,-14.25
100002,100037,-100,-14.75
100004,100039,-100,-12.50
100001,100041,-100,-11.75
100003,100043,-99,-13.25
100004,100044,-99,-12.50
100005,100045,-100,-14.25
100001,100046,-99,-12.25
100002,100047,-99,-12.00
100001,100051,-101,-14.25
100002,100052,-103,-14.25
100003,100053,-99,-13.50
100004,100054,-100,-13.25
100001,100056,-99,-11.75
100002,100057,-98,-11.25
100003,100058,-99,-12.50
100004,100059,-100,-12.50
100005,100060,-99,-12.75
100001,100061,-99,-13.75
100002,100062,-100,-12.00
100003,100063,-101,-12.75
100004,100064,-101,-11.50
100005,100065,-102,-14.50
100001,100066,-98,-11.75
100002,100067,-100,-12.50
100003,100068,-99,-13.50
100004,100069,-99,-13.75
100005,100070,-99,-14.00
100001,100071,-99,-13.25
100002,100072,-100,-14.50
100003,100073,-99,-11.50
100004,100074,-100,-12.75
100005,100075,-100,-11.75
100003,100078,-101,-14.25
100004,100079,-100,-13.25
100005,100080,-100,-13.75
100001,100081,-100,-15.25
100002,100082,-101,-14.50
100004,100084,-100,-13.25
100003,100088,-98,-13.00
100004,100099,-101,-16.25
100001,100101,-102,-16.25
100001,100116,-97,-17.50
100001,100121,-99,-19.00
100003,100123,-99,-15.75
100001,100126,-102,-15.50
100004,100129,-102,-13.75
100001,100131,-101,-14.00
100003,100133,-103,-15.50
