Contador_TX,Numero_dato,RSSI,SNR
100004,100374,-102,-10.25
100005,100375,-103,-11.25
100001,100376,-101,-11.25
100001,100381,-108,-7.00
100002,100382,-103,-11.50
100003,100383,-103,-9.75
100004,100384,-104,-10.50
100005,100385,-101,-9.50
100001,100386,-101,-10.00
100002,100387,-101,-10.50
100003,100388,-104,-10.50
100004,100389,-101,-9.25
100005,100390,-102,-10.25
100001,100391,-105,-10.50
100002,100392,-102,-9.50
100003,100393,-101,-9.50
100004,100394,-102,-10.00
100005,100395,-103,-10.25
100001,100396,-103,-10.00
100002,100397,-102,-9.00
100003,100398,-101,-9.25
100004,100399,-100,-9.25
100005,100400,-102,-9.75
100001,100401,-98,-8.75
100002,100402,-102,-12.00
100003,100403,-103,-12.75
100004,100404,-102,-11.75
100005,100405,-104,-12.50
100001,100406,-104,-13.25
100002,100407,-101,-12.25
100003,100408,-105,-12.75
100004,100409,-106,-12.25
100005,100410,-104,-13.00
100001,100411,-105,-12.00
100002,100412,-103,-12.50
100003,100413,-103,-11.50
100004,100414,-103,-11.50
100005,100415,-105,-12.00
100001,100416,-101,-11.25
100002,100417,-102,-13.25
100003,100418,-102,-12.50
100004,100419,-103,-11.50
100005,100420,-102,-12.25
100001,100421,-105,-15.50
100002,100422,-107,-10.00
100003,100423,-104,-12.00
100004,100424,-102,-11.25
100005,100425,-101,-12.25
100001,100426,-102,-10.75
100002,100427,-102,-11.00
100003,100428,-103,-12.00
100004,100429,-101,-10.25
100005,100430,-101,-12.00
100001,100431,-105,-12.00
100002,100432,-102,-10.00
100003,100433,-103,-11.50
100004,100434,-101,-10.25
100005,100435,-103,-11.25
100001,100436,-104,-11.50
100002,100437,-103,-10.50
100003,100438,-103,-11.50
100004,100439,-101,-9.75
100005,100440,-101,-10.50
100001,100441,-103,-11.50
100002,100442,-105,-11.50
100003,100443,-104,-10.25
100004,100444,-103,-11.75
100005,100445,-103,-11.75
100001,100446,-103,-11.75
100002,100447,-104,-11.25
100003,100448,-101,-10.75
100004,100449,-102,-12.00
100005,100450,-101,-10.75
100001,100451,-102,-12.00
